Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
Total,,,5193,42.5457,27,0:00:29,73546,3.67
eVq24ZjWknE,Think creatively about words and inputs,"Nov 19, 2023",1885,18.3085,5,0:00:34,229,2.18
WoU02xiEJOE,Simple concepts about software design,"Dec 3, 2023",1149,7.2692,1,0:00:22,16042,6.17
Anv35iLlMt4,Considering Design Patterns for programming,"Dec 2, 2023",805,3.0704,2,0:00:13,16296,4.26
Tj3LBRbTLkE,Design based thinking,"Dec 16, 2023",694,7.0067,4,0:00:36,13698,4.53
brXkajIcwcw,6weeks vs 1 day,"Dec 23, 2023",97,0.8779,0,0:00:32,3070,2.61
gOzM-m63AIw,Computer Science Programming -,"Nov 27, 2023",53,0.4071,0,0:00:27,1265,3.4
YG9ry7F2upg,Software engineering for change,"Dec 9, 2023",30,0.2948,0,0:00:35,850,1.41
V9MvelMEeHw,Simple isn’t easy how to build protocols that are interoperable,"Dec 26, 2023",28,0.371,0,0:00:47,754,1.33
ZWhjkFMBgv8,Nodes and controls,"Dec 8, 2023",28,0.42,0,0:00:53,1826,0.99
lOqYXgEqq9M,Understand risk in 59 seconds,"Dec 14, 2023",26,0.2236,0,0:00:30,1223,1.31
fNceDrpXlws,Pivoting is hard,"Dec 14, 2023",22,0.1452,0,0:00:23,801,2
59PCohZi1Ts,Transform your cybersecurity approach with 4 quick questions to kickstart detection engineering,"Dec 22, 2023",21,0.1903,0,0:00:32,564,0.35
0KAYljvs3Lw,Simple Math operations and how to use a computer,"Nov 30, 2023",20,0.1397,0,0:00:25,806,1.49
1Cx6fGYrYGk,5 Domains for a sense of place,"Nov 30, 2023",20,0.5754,0,0:01:43,532,1.69
8WL-Swf1Sv8,Considering Users on your technology stack,"Nov 27, 2023",18,0.1922,0,0:00:38,1212,0.99
ByX80ts3R5E,3 Considerations for threat modeling and AI,"Dec 20, 2023",17,0.2107,0,0:00:44,178,2.25
hlkV1tIOs_s,Consdierations about programming,"Nov 20, 2023",17,0.1166,0,0:00:24,591,2.2
5OGkpHAIDYw,How to Name things in Programming: A Beginners Guide to Code Clarity and Organization,"Dec 7, 2023",15,0.1406,0,0:00:33,2332,0.39
CewdJKL9M2c,Understand risk in under 60 seconds,"Dec 16, 2023",13,0.1274,0,0:00:35,464,2.59
UqU40jfVdbc,3 questions to clarify risk,"Dec 20, 2023",12,0.163,0,0:00:48,139,2.16
